loinc_num,long_common_name,component,system,method_typ,scale_typ,specimen_norm,specimen_clean,System,Model,method_class,method_clean,analyte_clean,elr_name,has_specimen,has_specimen,has_method,has_method,has_model,noise_corruption,noise_compression,noise_omission,noise_total,noise_level,analyte_len,info_score,coverage_pattern,has_analyte,seed_id,variant_id
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NASAL,anterior nasal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,1COPY - SARS-COV-2 - NAAT - MIDTURBINATE,1,False,1,True,1,0,0,0,0,low,7,3,A+M,True,0,0
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NASAL,anterior nasal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 - NAA - ANTERIOR NARES,1,True,1,True,0,0,0,0,0,low,6,3,A+M+S,True,0,1
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NASAL,anterior nasal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,1COPY | SARS-COV-2 RES,0,False,0,False,1,0,1,1,2,medium,4,1,A+I,True,0,2
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NASAL,anterior nasal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 QPCR NASAL WASH,1,True,1,True,0,0,0,0,0,low,4,3,A+M+S,True,0,3
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NASAL,anterior nasal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,CV19 STATUS NAAT ANTERIOR NARES,1,True,1,True,0,0,2,0,2,medium,5,3,A+M+S+I,True,0,4
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NASAL,anterior nasal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,1COPY SARS-COV-2 RT-QPCR,0,False,1,True,1,0,0,0,0,low,3,3,A+M,True,0,5
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NASAL,anterior nasal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2,0,False,0,False,0,0,0,1,1,low,1,1,A,True,0,6
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NASAL,anterior nasal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS2 | PCR,0,False,1,True,0,0,1,0,1,low,3,3,A+M,True,0,7
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NASAL,anterior nasal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 / QPCR / ANTERIOR NASAL SWAB SWAB,1,True,1,True,0,0,0,0,0,low,8,3,A+M+S,True,0,8
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NASAL,anterior nasal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,COVID-19 - NAAT,0,False,1,True,0,0,1,0,1,low,3,3,A+M,True,0,9
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NASAL,anterior nasal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,1COPY | CORONAVIRUS | NAA,0,False,1,True,1,0,1,0,1,low,5,3,A+M,True,0,10
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NASAL,anterior nasal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 / QPCR,0,False,1,True,0,0,0,0,0,low,3,3,A+M,True,0,11
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NP,nasopharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2,0,False,0,False,0,0,0,1,1,low,1,1,A,True,1,0
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NP,nasopharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,COVID-19 RPT,0,False,0,False,0,0,2,1,3,medium,2,1,A,True,1,1
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NP,nasopharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,COVID-19 RT-PCR,0,False,1,True,0,0,1,0,1,low,2,3,A+M,True,1,2
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NP,nasopharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS2 NAA,0,False,1,True,0,0,1,0,1,low,2,3,A+M,True,1,3
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NP,nasopharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 / QPCR,0,False,1,True,0,0,0,0,0,low,3,3,A+M,True,1,4
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NP,nasopharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 | QPCR,0,False,1,True,0,0,0,0,0,low,3,3,A+M,True,1,5
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NP,nasopharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 RT-QPCR,0,False,1,True,0,0,1,0,1,low,2,3,A+M,True,1,6
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NP,nasopharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,1COPY / SARS-COV-2 / PCR / NP SWAB SWAB,1,True,1,True,1,0,0,0,0,low,9,3,A+M+S,True,1,7
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NP,nasopharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 PCR,0,False,1,True,0,0,0,0,0,low,2,3,A+M,True,1,8
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NP,nasopharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 / RT-PCR / NP SWAB,1,True,1,True,0,0,1,0,1,low,6,3,A+M+S,True,1,9
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NP,nasopharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 RPT - NASOPHARYNGEAL WASH SWAB,1,True,0,False,0,0,1,1,2,medium,6,1,A+S,True,1,10
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,NP,nasopharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,COVID-19 - RT-QPCR,0,False,1,True,0,0,1,0,1,low,3,3,A+M,True,1,11
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,THROAT,oropharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 / NAAT,0,False,1,True,0,0,0,0,0,low,3,3,A+M,True,2,0
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,THROAT,oropharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,1COPY SARS-COV-2 QPCR,0,False,1,True,1,0,1,0,1,low,3,3,A+M,True,2,1
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,THROAT,oropharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 OPHARYNGEAL SWAB,1,False,0,False,0,0,0,1,1,low,3,1,A,True,2,2
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,THROAT,oropharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 RT-QPCR THRT,1,False,1,True,0,0,0,0,0,low,3,3,A+M,True,2,3
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,THROAT,oropharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 / RT-QPCR,0,False,1,True,0,0,0,0,0,low,3,3,A+M,True,2,4
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,THROAT,oropharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,COVID-19 - RT-PCR,0,False,1,True,0,0,1,0,1,low,3,3,A+M,True,2,5
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,THROAT,oropharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,1COPY / SARS-COV-2 / PCR,0,False,1,True,1,0,1,0,1,low,5,3,A+M,True,2,6
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,THROAT,oropharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 / RT-QPCR / OPHARYNGEAL SWAB SWAB,1,False,1,True,0,0,0,0,0,low,7,3,A+M,True,2,7
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,THROAT,oropharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,1COPY | SARS-COV-2 RPT | RT-PCR | THRT SWAB,1,False,1,True,1,0,1,0,1,low,9,3,A+M,True,2,8
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,THROAT,oropharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 NAA,0,False,1,True,0,0,0,0,0,low,2,3,A+M,True,2,9
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,THROAT,oropharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,COVID-19 / RT-PCR / OPHARYNGEAL SWAB,1,False,1,True,0,0,1,0,1,low,6,3,A+M,True,2,10
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,THROAT,oropharyngeal swabs,Respiratory,1copy COVID-19 qPCR Multi Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 NAAT,0,False,1,True,0,0,0,0,0,low,2,3,A+M,True,2,11
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,BAL,bronchoalveolar lavage  specimens,Respiratory,TRUPCR SARS-CoV-2 Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,TRUPCR - COVID19 - QPCR,0,False,1,True,1,0,1,0,1,low,5,3,A+M,True,3,0
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,BAL,bronchoalveolar lavage  specimens,Respiratory,TRUPCR SARS-CoV-2 Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,COVID19 | NAAT,0,False,1,True,0,0,1,0,1,low,3,3,A+M,True,3,1
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,BAL,bronchoalveolar lavage  specimens,Respiratory,TRUPCR SARS-CoV-2 Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 RPT RT-QPCR BRONCHO ALVEOLAR LAVAGE FLUID,1,False,1,True,0,0,1,0,1,low,7,3,A+M,True,3,2
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,BAL,bronchoalveolar lavage  specimens,Respiratory,TRUPCR SARS-CoV-2 Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,TRUPCR SARS-COV-2 RT-QPCR,0,False,1,True,1,0,0,0,0,low,3,3,A+M,True,3,3
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,BAL,bronchoalveolar lavage  specimens,Respiratory,TRUPCR SARS-CoV-2 Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,ARS-COV-2 PCR,0,False,1,True,0,1,1,0,2,medium,2,2,M,False,3,4
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,BAL,bronchoalveolar lavage  specimens,Respiratory,TRUPCR SARS-CoV-2 Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 BAL,1,True,0,False,0,0,0,1,1,low,2,1,A+S,True,3,5
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,BAL,bronchoalveolar lavage  specimens,Respiratory,TRUPCR SARS-CoV-2 Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,SARS-COV-2 | BRONCHIOALVEOLAR LAVAGE,1,False,0,False,0,0,0,1,1,low,4,1,A,True,3,6
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,Respiratory System Specimen,Probe.amp.tar,Ord,BAL,bronchoalveolar lavage  specimens,Respiratory,TRUPCR SARS-CoV-2 Kit*,naat,Probe.amp.tar,SARSCOV2 RESULT INTERPRETATION,TRUPCR - CV19 - NAAT,0,False,1,True,1,0,1,0,1,low,5,3,A+M,True,3,7
